PVT_CORNER,Worst Setup Slack,Worst Hold Slack,WNS,TNS
ff_100C_1v65,4.08,0.21,0.0,0.0
ff_100C_1v95,5.56,0.16,0.0,0.0
ff_n40C_1v56,1.7,0.25,0.0,0.0
ff_n40C_1v65,3.05,0.22,0.0,0.0
ff_n40C_1v76,4.15,0.19,0.0,0.0
ff_n40C_1v95,5.36,0.15,0.0,0.0
ss_100C_1v40,-12.01,0.87,-12.01,-8939.03
ss_100C_1v60,-4.9,0.6,-4.9,-3226.82
ss_n40C_1v28,-56.02,1.79,-56.02,-48146.38
ss_n40C_1v35,-35.33,1.31,-35.33,-29840.24
ss_n40C_1v40,-27.19,1.09,-27.19,-22478.11
ss_n40C_1v44,-22.92,0.95,-22.92,-18685.89
ss_n40C_1v60,-10.42,0.63,-10.42,-7745.99
ss_n40C_1v76,-5.3,0.46,-5.3,-3422.34
tt_025C_1v80,2.19,0.27,0.0,0.0
tt_100C_1v80,2.61,0.28,0.0,0.0
